CXOC J100140.0+021411    67 150.41665  2.236417 0.16  9.99E-04 7.93E-05  1.35E-14 1.07E-15  12.62 161.5   130.1  13.8 162.64  4.19E-04 5.08E-05  2.28E-15 2.77E-16   8.23 158.78   60.9   9.6 160.45  5.33E-04 5.87E-05  1.40E-14 1.54E-15   9.09 167.02   72.9  10.9 167.33   0.11  -0.01   0.25 
CXOC J100141.0+021259    68 150.42118  2.216549 0.13  2.87E-03 1.31E-04  3.87E-14 1.76E-15  21.99 158.38  373.6  21.9 158.1   2.23E-03 1.14E-04  1.21E-14 6.24E-16  19.39 155.73  293.7  19.3 155.92  6.31E-04 6.36E-05  1.65E-14 1.67E-15   9.88 164.06   78.2  11.2 162.78  -0.54  -0.61  -0.48 
CXOC J100141.3+021031    69 150.42219  2.175362 0.15  5.03E-03 1.86E-04  6.78E-14 2.51E-15  27.01 134.96  451.3  23.9 112.94  3.62E-03 1.58E-04  1.97E-14 8.61E-16  22.88 132.37  314.7  20.  110.82  1.27E-03 9.03E-05  3.33E-14 2.37E-15  14.05 154.11  134.6  13.9 117.62  -0.42  -0.48  -0.37 
CXOC J100137.2+021612    70 150.40505  2.270085 0.28  7.41E-04 7.31E-05  9.99E-15 9.85E-16  10.14 174.91   96.3  13.2 151.46  4.55E-04 5.34E-05  2.48E-15 2.91E-16   8.52 171.19   63.5  10.1 148.49  2.08E-04 4.69E-05  5.47E-15 1.23E-15   4.45 182.63   31.1   9.4 157.89  -0.37  -0.51  -0.21 
CXOC J100029.6+022129    71 150.12363  2.358299 0.1   3.65E-03 1.53E-04  4.92E-14 2.06E-15  23.88 147.71  371.8  21.8 121.4   2.58E-03 1.28E-04  1.41E-14 6.96E-16  20.26 145.25  265.3  18.5 119.79  1.03E-03 8.32E-05  2.71E-14 2.18E-15  12.43 152.67  104.8  12.4 124.85  -0.41  -0.48  -0.35 
CXOC J100021.9+022356    72 150.09154  2.399072 0.1   1.28E-03 8.46E-05  1.72E-14 1.14E-15  15.09 187.29  223.   18.  196.28  8.02E-04 6.52E-05  4.37E-15 3.55E-16  12.31 183.53  126.4  13.6 192.9   5.00E-04 5.55E-05  1.31E-14 1.46E-15   8.97 195.     96.6  12.6 203.59  -0.22  -0.33  -0.12 
CXOC J100055.2+022344    73 150.23002  2.395579 0.1   2.99E-03 1.11E-04  4.02E-14 1.50E-15  26.8  227.35  332.5  20.4  87.46  1.49E-03 7.88E-05  8.14E-15 4.30E-16  18.93 222.37  183.9  15.5  86.91  1.48E-03 7.73E-05  3.87E-14 2.03E-15  19.06 237.65  149.4  14.1  88.65   0.02  -0.04   0.08 
CXOC J100058.6+022556    74 150.24456  2.432339 0.1   2.70E-03 1.06E-04  3.65E-14 1.43E-15  25.52 233.66  553.3  26.7 200.41  2.04E-03 9.10E-05  1.11E-14 4.96E-16  22.38 228.41  423.6  23.1 197.    6.53E-04 5.55E-05  1.71E-14 1.46E-15  11.71 244.54  131.8  14.6 207.71  -0.49  -0.55  -0.44 
CXOC J100059.4+022632    75 150.2477   2.442225 0.13  8.98E-04 7.08E-05  1.21E-14 9.54E-16  12.68 207.09  175.   16.5 174.3   4.15E-04 4.67E-05  2.26E-15 2.55E-16   8.86 202.31   83.2  11.3 171.06  4.77E-04 5.32E-05  1.25E-14 1.40E-15   8.93 217.     91.2  12.7 181.28   0.07  -0.04   0.2  
CXOC J100031.2+022819    76 150.13036  2.472174 0.16  5.76E-04 6.38E-05  7.77E-15 8.59E-16   9.05 189.2    95.5  13.5 176.11  4.10E-04 4.92E-05  2.23E-15 2.68E-16   8.32 185.72   62.7  10.3 173.12  1.45E-04 4.12E-05  3.82E-15 1.08E-15   3.54 196.29   32.7   9.8 182.59  -0.47  -0.62  -0.31 
